"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"325",2003,2,"Lop Buri",2,1,2,12,101,0,146,18,1
"326",2003,2,"Mae Hong Son",0,0,11,6,114,0,108,12,0
"327",2003,2,"Maha Sarakham",3,0,21,10,172,2,117,8,2
"328",2003,2,"Mukdahan",0,0,4,9,43,0,95,21,2
"329",2003,2,"Nakhon Nayok",2,0,5,20,21,0,115,17,2
"330",2003,2,"Nakhon Pathom",21,0,41,8,141,0,92,8,0
"331",2003,2,"Nakhon Phanom",2,0,7,9,127,0,92,24,2
"332",2003,2,"Nakhon Ratchasima",9,1,24,9,435,2,109,36,0
"333",2003,2,"Nakhon Sawan",40,1,17,11,151,1,97,24,0
"334",2003,2,"Nakhon Si Thammarat",36,0,45,13,117,2,139,28,1
"335",2003,2,"Nan",0,1,27,24,76,11,79,8,0
"336",2003,2,"Narathiwat",21,0,53,5,172,0,35,6,0
"337",2003,2,"Nong Bua Lam Phu",3,0,15,1,87,0,78,4,0
"338",2003,2,"Nong Khai",7,0,2,2,64,0,54,1,0
"339",2003,2,"Nonthaburi",10,0,52,5,65,0,31,1,0
"340",2003,2,"Pathum Thani",5,0,26,3,150,0,35,0,0
"341",2003,2,"Pattani",9,0,28,4,105,0,43,0,0
"342",2003,2,"Phangnga",9,0,11,4,8,0,44,1,0
"343",2003,2,"Phatthalung",11,0,34,14,106,0,37,0,0
"344",2003,2,"Phayao",2,0,13,2,126,2,41,1,0
"345",2003,2,"Phetchabun",6,0,23,10,70,0,35,1,0
"346",2003,2,"Phetchaburi",1,0,34,5,42,0,34,1,0
"347",2003,2,"Phichit",14,0,1,3,24,0,21,2,0
"348",2003,2,"Phitsanulok",1,1,15,2,108,0,11,0,0
"349",2003,2,"Phra Nakhon Si Ayutthaya",12,0,13,86,230,0,111,10,0
"350",2003,2,"Phrae",0,0,6,72,52,0,91,1,0
"351",2003,2,"Phuket",5,0,20,33,25,0,104,1,0
"352",2003,2,"Prachin Buri",19,2,28,21,142,0,80,2,0
"353",2003,2,"Prachuap Khiri Khan",36,0,17,67,76,0,96,1,0
"354",2003,2,"Ranong",2,0,1,91,28,0,70,2,0
"355",2003,2,"Ratchaburi",17,0,70,80,128,0,86,3,0
"356",2003,2,"Rayong",22,1,18,57,85,0,71,2,0
"357",2003,2,"Roi Et",14,1,24,32,182,0,50,3,0
"358",2003,2,"Sa Kaeo",13,0,1,18,27,0,36,0,0
"359",2003,2,"Sakon Nakhon",4,0,2,13,44,0,23,3,0
"360",2003,2,"Samut Prakan",13,0,5,3,62,0,4,16,0
"361",2003,2,"Samut Sakhon",25,0,10,2,46,0,35,0,1
